Time (s),Rel X (m),Rel Y (m)
0.897110,0.191284,0.113486
0.901115,0.191868,0.112644
0.905120,0.192456,0.111847
0.909125,0.193085,0.111092
0.913130,0.193797,0.110378
0.917135,0.194634,0.109699
0.921140,0.195637,0.109050
0.925145,0.196844,0.108425
0.929150,0.198291,0.107815
0.933155,0.200006,0.107214
0.937160,0.202015,0.106618
0.941165,0.204338,0.106022
0.945170,0.206991,0.105424
0.949175,0.209981,0.104821
0.953180,0.213310,0.104210
0.957185,0.216972,0.103589
0.961190,0.220954,0.102959
0.965195,0.225238,0.102319
0.969200,0.229794,0.101668
0.973204,0.234589,0.101009
0.977209,0.239583,0.100343
0.981214,0.244730,0.099674
0.985219,0.249981,0.099008
0.989224,0.255286,0.098351
0.993229,0.260598,0.097710
0.997234,0.265877,0.097094
1.001239,0.271087,0.096514
1.005244,0.276201,0.095978
1.009249,0.281201,0.095497
1.013254,0.286073,0.095078
1.017259,0.290810,0.094726
1.021264,0.295409,0.094447
1.025269,0.299873,0.094248
1.029274,0.304208,0.094134
1.033279,0.308420,0.094109
1.037284,0.312520,0.094179
1.041289,0.316521,0.094344
1.045294,0.320443,0.094606
1.049299,0.324303,0.094966
1.053304,0.328119,0.095426
1.057309,0.331910,0.095987
1.061314,0.335691,0.096653
1.065318,0.339474,0.097427
1.069323,0.343267,0.098313
1.073328,0.347075,0.099316
1.077333,0.350902,0.100439
1.081338,0.354749,0.101688
1.085343,0.358613,0.103064
1.089348,0.362491,0.104573
1.093353,0.366381,0.106215
1.097358,0.370276,0.107994
1.101363,0.374170,0.109910
1.105368,0.378053,0.111966
1.109373,0.381913,0.114160
1.113378,0.385737,0.116494
1.117383,0.389509,0.118968
1.121388,0.393215,0.121584
1.125393,0.396839,0.124345
1.129398,0.400368,0.127254
1.133403,0.403789,0.130311
1.137408,0.407095,0.133517
1.141413,0.410282,0.136875
1.145418,0.413354,0.140386
1.149423,0.416315,0.144050
1.153428,0.419178,0.147867
1.157432,0.421954,0.151834
1.161437,0.424657,0.155950
1.165442,0.427297,0.160209
1.169447,0.429887,0.164608
1.173452,0.432439,0.169143
1.177457,0.434963,0.173810
1.181462,0.437466,0.178606
1.185467,0.439956,0.183529
1.189472,0.442443,0.188576
1.193477,0.444930,0.193747
1.197482,0.447422,0.199040
1.201487,0.449919,0.204455
1.205492,0.452422,0.209995
1.209497,0.454925,0.215661
1.213502,0.457423,0.221453
1.217507,0.459908,0.227373
1.221512,0.462373,0.233422
1.225517,0.464807,0.239599
1.229522,0.467202,0.245900
1.233527,0.469547,0.252319
1.237532,0.471834,0.258848
1.241537,0.474054,0.265472
1.245542,0.476202,0.272178
1.249546,0.478275,0.278951
1.253551,0.480272,0.285775
1.257556,0.482193,0.292638
1.261561,0.484035,0.299528
1.265566,0.485798,0.306433
1.269571,0.487481,0.313346
1.273576,0.489083,0.320255
1.277581,0.490602,0.327156
1.281586,0.492036,0.334042
1.285591,0.493382,0.340908
1.289596,0.494638,0.347749
1.293601,0.495799,0.354559
1.297606,0.496865,0.361331
1.301611,0.497834,0.368061
1.305616,0.498704,0.374743
1.309621,0.499475,0.381371
1.313626,0.500145,0.387941
1.317631,0.500714,0.394451
1.321636,0.501182,0.400897
1.325641,0.501545,0.407279
1.329646,0.501799,0.413595
1.333651,0.501939,0.419847
1.337656,0.501957,0.426035
1.341660,0.501849,0.432163
1.345665,0.501610,0.438237
1.349670,0.501235,0.444265
1.353675,0.500721,0.450256
1.357680,0.500065,0.456219
1.361685,0.499263,0.462167
1.365690,0.498313,0.468109
1.369695,0.497213,0.474058
1.373700,0.495963,0.480023
1.377705,0.494565,0.486013
1.381710,0.493021,0.492031
1.385715,0.491338,0.498081
1.389720,0.489521,0.504162
1.393725,0.487576,0.510271
1.397730,0.485507,0.516402
1.401735,0.483320,0.522545
1.405740,0.481017,0.528687
1.409745,0.478603,0.534813
1.413750,0.476085,0.540906
1.417755,0.473467,0.546948
1.421760,0.470759,0.552924
1.425765,0.467968,0.558815
1.429770,0.465102,0.564606
1.433774,0.462170,0.570280
1.437779,0.459179,0.575824
1.441784,0.456138,0.581230
1.445789,0.453056,0.586493
1.449794,0.449941,0.591607
1.453799,0.446807,0.596571
1.457804,0.443666,0.601387
1.461809,0.440532,0.606057
1.465814,0.437420,0.610584
1.469819,0.434344,0.614974
1.473824,0.431316,0.619234
1.477829,0.428348,0.623371
1.481834,0.425449,0.627389
1.485839,0.422628,0.631295
1.489844,0.419888,0.635094
1.493849,0.417229,0.638790
1.497854,0.414645,0.642385
1.501859,0.412129,0.645880
1.505864,0.409672,0.649274
1.509869,0.407260,0.652566
1.513874,0.404877,0.655755
1.517879,0.402506,0.658841
1.521884,0.400129,0.661825
1.525888,0.397731,0.664709
1.529893,0.395297,0.667498
1.533898,0.392816,0.670195
1.537903,0.390277,0.672806
1.541908,0.387673,0.675334
1.545913,0.384992,0.677785
1.549918,0.382225,0.680160
1.553923,0.379362,0.682462
1.557928,0.376396,0.684693
1.561933,0.373320,0.686857
1.565938,0.370133,0.688954
1.569943,0.366833,0.690985
1.573948,0.363421,0.692950
1.577953,0.359900,0.694846
1.581958,0.356271,0.696672
1.585963,0.352536,0.698428
1.589968,0.348698,0.700117
1.593973,0.344760,0.701738
1.597978,0.340728,0.703291
1.601983,0.336606,0.704775
1.605988,0.332403,0.706185
1.609993,0.328129,0.707519
1.613998,0.323792,0.708774
1.618002,0.319402,0.709950
1.622007,0.314971,0.711051
1.626012,0.310512,0.712077
1.630017,0.306036,0.713031
1.634022,0.301552,0.713912
1.638027,0.297073,0.714720
1.642032,0.292612,0.715453
1.646037,0.288182,0.716108
1.650042,0.283797,0.716683
1.654047,0.279471,0.717171
1.658052,0.275221,0.717569
1.662057,0.271061,0.717872
1.666062,0.267003,0.718080
1.670067,0.263055,0.718193
1.674072,0.259223,0.718214
1.678077,0.255511,0.718148
1.682082,0.251921,0.717998
1.686087,0.248452,0.717771
1.690092,0.245101,0.717475
1.694097,0.241864,0.717117
1.698102,0.238739,0.716704
1.702107,0.235725,0.716245
1.706112,0.232825,0.715751
1.710116,0.230039,0.715238
1.714121,0.227368,0.714717
1.718126,0.224810,0.714205
1.722131,0.222367,0.713714
1.726136,0.220037,0.713258
1.730141,0.217821,0.712848
1.734146,0.215714,0.712493
1.738151,0.213712,0.712197
1.742156,0.211809,0.711968
1.746161,0.210002,0.711809
1.750166,0.208285,0.711721
1.754171,0.206655,0.711704
1.758176,0.205111,0.711760
1.762181,0.203647,0.711889
1.766186,0.202260,0.712091
1.770191,0.200943,0.712365
1.774196,0.199691,0.712707
1.778201,0.198499,0.713113
1.782206,0.197362,0.713580
1.786211,0.196276,0.714105
1.790216,0.195237,0.714686
1.794221,0.194245,0.715322
1.798226,0.193296,0.716012
1.802230,0.192390,0.716758
1.806235,0.191526,0.717560
1.810240,0.190702,0.718419
1.814245,0.189918,0.719332
1.818250,0.189171,0.720297
1.822255,0.188461,0.721312
1.826260,0.187787,0.722371
1.830265,0.187152,0.723470
1.834270,0.186560,0.724604
1.838275,0.186015,0.725768
1.842280,0.185525,0.726962
1.846285,0.185097,0.728182
1.850290,0.184738,0.729431
1.854295,0.184457,0.730711
1.858300,0.184262,0.732023
1.862305,0.184163,0.733369
1.866310,0.184167,0.734752
1.870315,0.184276,0.736173
1.874320,0.184492,0.737629
1.878325,0.184812,0.739116
1.882330,0.185233,0.740632
1.886335,0.185750,0.742173
1.890340,0.186359,0.743735
1.894344,0.187050,0.745317
1.898349,0.187814,0.746921
1.902354,0.188640,0.748548
1.906359,0.189516,0.750202
1.910364,0.190428,0.751889
1.914369,0.191359,0.753615
1.918374,0.192292,0.755388
1.922379,0.193208,0.757216
1.926384,0.194092,0.759108
1.930389,0.194931,0.761073
1.934394,0.195709,0.763122
1.938399,0.196417,0.765262
1.942404,0.197043,0.767499
1.946409,0.197580,0.769839
1.950414,0.198021,0.772285
1.954419,0.198367,0.774837
1.958424,0.198622,0.777497
1.962429,0.198789,0.780268
1.966434,0.198874,0.783153
1.970439,0.198881,0.786153
1.974444,0.198816,0.789268
1.978449,0.198680,0.792492
1.982454,0.198474,0.795820
1.986458,0.198198,0.799241
1.990463,0.197850,0.802747
1.994468,0.197430,0.806326
1.998473,0.196941,0.809968
2.002478,0.196386,0.813663
2.006483,0.195769,0.817404
2.010488,0.195095,0.821182
2.014493,0.194367,0.824993
2.018498,0.193589,0.828833
2.022503,0.192765,0.832699
2.026508,0.191900,0.836593
2.030513,0.191005,0.840516
2.034518,0.190087,0.844472
2.038523,0.189158,0.848464
2.042528,0.188226,0.852499
2.046533,0.187306,0.856584
2.050538,0.186415,0.860726
2.054543,0.185574,0.864935
